date,station,line,division,daily_ridership
2016-10-21,57 ST-7 AV,NQR,RIT,25777
2016-10-22,57 ST-7 AV,NQR,RIT,18101
2016-10-23,57 ST-7 AV,NQR,RIT,16312
2016-10-24,57 ST-7 AV,NQR,RIT,23720
2016-10-25,57 ST-7 AV,NQR,RIT,26637
2016-10-26,57 ST-7 AV,NQR,RIT,27761
2016-10-27,57 ST-7 AV,NQR,RIT,27832
2016-10-28,57 ST-7 AV,NQR,RIT,26120
2016-07-31,49 ST,NQR,RIT,16832
2016-08-01,49 ST,NQR,RIT,24896
2016-08-02,49 ST,NQR,RIT,27011
2016-08-03,49 ST,NQR,RIT,29008
2016-08-04,49 ST,NQR,RIT,27964
2016-08-05,49 ST,NQR,RIT,27968
2016-08-06,49 ST,NQR,RIT,20241
2016-08-07,49 ST,NQR,RIT,18081
2016-08-08,49 ST,NQR,RIT,24196
2016-08-09,49 ST,NQR,RIT,26822
2016-08-10,49 ST,NQR,RIT,28527
2016-08-11,49 ST,NQR,RIT,27846
2016-08-12,49 ST,NQR,RIT,26786
2016-08-13,49 ST,NQR,RIT,17439
2016-08-14,49 ST,NQR,RIT,15218
2016-08-15,49 ST,NQR,RIT,22827
2016-08-16,49 ST,NQR,RIT,25696
2016-08-17,49 ST,NQR,RIT,27058
2016-08-18,49 ST,NQR,RIT,26941
2016-08-19,49 ST,NQR,RIT,25635
2016-08-20,49 ST,NQR,RIT,19574
2016-08-21,49 ST,NQR,RIT,18423
2016-08-22,49 ST,NQR,RIT,22568
2016-08-23,49 ST,NQR,RIT,24756
2016-08-24,49 ST,NQR,RIT,26537
2016-08-25,49 ST,NQR,RIT,25922
2016-08-26,49 ST,NQR,RIT,25731
2016-08-27,49 ST,NQR,RIT,17979
2016-08-28,49 ST,NQR,RIT,16335
2016-08-29,49 ST,NQR,RIT,22924
2016-08-30,49 ST,NQR,RIT,24270
2016-08-31,49 ST,NQR,RIT,25694
2016-09-01,49 ST,NQR,RIT,24450
2016-09-02,49 ST,NQR,RIT,23679
2016-09-03,49 ST,NQR,RIT,17770
2016-09-04,49 ST,NQR,RIT,17911
2016-09-05,49 ST,NQR,RIT,13147
2016-09-06,49 ST,NQR,RIT,22284
2016-09-07,49 ST,NQR,RIT,25784
2016-09-08,49 ST,NQR,RIT,26334
2016-09-09,49 ST,NQR,RIT,27386
2016-09-10,49 ST,NQR,RIT,19568
2016-09-11,49 ST,NQR,RIT,17540
2016-09-12,49 ST,NQR,RIT,24376
2016-09-13,49 ST,NQR,RIT,26401
2016-09-14,49 ST,NQR,RIT,28698
2016-09-15,49 ST,NQR,RIT,27838
2016-09-16,49 ST,NQR,RIT,27797
2016-09-17,49 ST,NQR,RIT,21753
2016-09-18,49 ST,NQR,RIT,20740
2016-09-19,49 ST,NQR,RIT,25137
2016-09-20,49 ST,NQR,RIT,26731
2016-09-21,49 ST,NQR,RIT,28795
2016-09-22,49 ST,NQR,RIT,28425
2016-09-23,49 ST,NQR,RIT,28391
2016-09-24,49 ST,NQR,RIT,18672
2016-09-25,49 ST,NQR,RIT,17342
2016-09-26,49 ST,NQR,RIT,24988
2016-09-27,49 ST,NQR,RIT,25916
2016-09-28,49 ST,NQR,RIT,29807
2016-09-29,49 ST,NQR,RIT,27732
2016-09-30,49 ST,NQR,RIT,29781
2016-10-01,49 ST,NQR,RIT,19503
2016-10-02,49 ST,NQR,RIT,18901
2016-10-03,49 ST,NQR,RIT,23313
2016-10-04,49 ST,NQR,RIT,25728
2016-10-05,49 ST,NQR,RIT,29015
2016-10-06,49 ST,NQR,RIT,28045
2016-10-07,49 ST,NQR,RIT,29149
2016-10-08,49 ST,NQR,RIT,21758
2016-10-09,49 ST,NQR,RIT,17795
2016-10-10,49 ST,NQR,RIT,23266
2016-10-11,49 ST,NQR,RIT,26087
2016-10-12,49 ST,NQR,RIT,26466
2016-10-13,49 ST,NQR,RIT,27975
2016-10-14,49 ST,NQR,RIT,29196
2016-10-15,49 ST,NQR,RIT,22188
2016-10-16,49 ST,NQR,RIT,20338
2016-10-17,49 ST,NQR,RIT,26025
2016-10-18,49 ST,NQR,RIT,26827
2016-10-19,49 ST,NQR,RIT,28913
2016-10-20,49 ST,NQR,RIT,28197
2016-10-21,49 ST,NQR,RIT,28941
2016-10-22,49 ST,NQR,RIT,21341
2016-10-23,49 ST,NQR,RIT,18976
2016-10-24,49 ST,NQR,RIT,25524
2016-10-25,49 ST,NQR,RIT,27713
2016-10-26,49 ST,NQR,RIT,29410
2016-10-27,49 ST,NQR,RIT,29575
2016-10-28,49 ST,NQR,RIT,30044
2016-07-31,TIMES SQ-42 ST,ACENQRS1237,RIT,2835
2016-08-01,TIMES SQ-42 ST,ACENQRS1237,RIT,11901
2016-08-02,TIMES SQ-42 ST,ACENQRS1237,RIT,13262
2016-08-03,TIMES SQ-42 ST,ACENQRS1237,RIT,13641
2016-08-04,TIMES SQ-42 ST,ACENQRS1237,RIT,13382
2016-08-05,TIMES SQ-42 ST,ACENQRS1237,RIT,11989
2016-08-06,TIMES SQ-42 ST,ACENQRS1237,RIT,4630
2016-08-07,TIMES SQ-42 ST,ACENQRS1237,RIT,3170
2016-08-08,TIMES SQ-42 ST,ACENQRS1237,RIT,12002
2016-08-09,TIMES SQ-42 ST,ACENQRS1237,RIT,13478
2016-08-10,TIMES SQ-42 ST,ACENQRS1237,RIT,13678
2016-08-11,TIMES SQ-42 ST,ACENQRS1237,RIT,13366
2016-08-12,TIMES SQ-42 ST,ACENQRS1237,RIT,11909
2016-08-13,TIMES SQ-42 ST,ACENQRS1237,RIT,4151
2016-08-14,TIMES SQ-42 ST,ACENQRS1237,RIT,2929
2016-08-15,TIMES SQ-42 ST,ACENQRS1237,RIT,11589
2016-08-16,TIMES SQ-42 ST,ACENQRS1237,RIT,13118
2016-08-17,TIMES SQ-42 ST,ACENQRS1237,RIT,13119
2016-08-18,TIMES SQ-42 ST,ACENQRS1237,RIT,13265
2016-08-19,TIMES SQ-42 ST,ACENQRS1237,RIT,11827
2016-08-20,TIMES SQ-42 ST,ACENQRS1237,RIT,4740
2016-08-21,TIMES SQ-42 ST,ACENQRS1237,RIT,3299
2016-08-22,TIMES SQ-42 ST,ACENQRS1237,RIT,11597
2016-08-23,TIMES SQ-42 ST,ACENQRS1237,RIT,12928
2016-08-24,TIMES SQ-42 ST,ACENQRS1237,RIT,13248
2016-08-25,TIMES SQ-42 ST,ACENQRS1237,RIT,13152
2016-08-26,TIMES SQ-42 ST,ACENQRS1237,RIT,11551
2016-08-27,TIMES SQ-42 ST,ACENQRS1237,RIT,4409
2016-08-28,TIMES SQ-42 ST,ACENQRS1237,RIT,3229
2016-08-29,TIMES SQ-42 ST,ACENQRS1237,RIT,11826
2016-08-30,TIMES SQ-42 ST,ACENQRS1237,RIT,12792
2016-08-31,TIMES SQ-42 ST,ACENQRS1237,RIT,12935
2016-09-01,TIMES SQ-42 ST,ACENQRS1237,RIT,12578
2016-09-02,TIMES SQ-42 ST,ACENQRS1237,RIT,10479
2016-09-03,TIMES SQ-42 ST,ACENQRS1237,RIT,4103
2016-09-04,TIMES SQ-42 ST,ACENQRS1237,RIT,3117
2016-09-05,TIMES SQ-42 ST,ACENQRS1237,RIT,2866
2016-09-06,TIMES SQ-42 ST,ACENQRS1237,RIT,12313
2016-09-07,TIMES SQ-42 ST,ACENQRS1237,RIT,13475
2016-09-08,TIMES SQ-42 ST,ACENQRS1237,RIT,13706
2016-09-09,TIMES SQ-42 ST,ACENQRS1237,RIT,13161
2016-09-10,TIMES SQ-42 ST,ACENQRS1237,RIT,4892
2016-09-11,TIMES SQ-42 ST,ACENQRS1237,RIT,3500
2016-09-12,TIMES SQ-42 ST,ACENQRS1237,RIT,12546
2016-09-13,TIMES SQ-42 ST,ACENQRS1237,RIT,13852
2016-09-14,TIMES SQ-42 ST,ACENQRS1237,RIT,14579
2016-09-15,TIMES SQ-42 ST,ACENQRS1237,RIT,14097
2016-09-16,TIMES SQ-42 ST,ACENQRS1237,RIT,12977
2016-09-17,TIMES SQ-42 ST,ACENQRS1237,RIT,5266
2016-09-18,TIMES SQ-42 ST,ACENQRS1237,RIT,3852
2016-09-19,TIMES SQ-42 ST,ACENQRS1237,RIT,12063
2016-09-20,TIMES SQ-42 ST,ACENQRS1237,RIT,13835
2016-09-21,TIMES SQ-42 ST,ACENQRS1237,RIT,14270
2016-09-22,TIMES SQ-42 ST,ACENQRS1237,RIT,13972
2016-09-23,TIMES SQ-42 ST,ACENQRS1237,RIT,13200
2016-09-24,TIMES SQ-42 ST,ACENQRS1237,RIT,4834
