date,station,line,division,ridership
2016-10-11,59 ST,NQR456,BMT,18059
2016-10-12,59 ST,NQR456,BMT,16363
2016-10-13,59 ST,NQR456,BMT,18517
2016-10-14,59 ST,NQR456,BMT,19054
2016-10-15,59 ST,NQR456,BMT,12122
2016-10-16,59 ST,NQR456,BMT,9100
2016-10-17,59 ST,NQR456,BMT,17276
2016-10-18,59 ST,NQR456,BMT,18598
2016-10-19,59 ST,NQR456,BMT,19083
2016-10-20,59 ST,NQR456,BMT,18943
2016-10-21,59 ST,NQR456,BMT,18920
2016-10-22,59 ST,NQR456,BMT,12812
2016-10-23,59 ST,NQR456,BMT,10357
2016-10-24,59 ST,NQR456,BMT,17206
2016-10-25,59 ST,NQR456,BMT,18923
2016-10-26,59 ST,NQR456,BMT,18912
2016-10-27,59 ST,NQR456,BMT,19124
2016-10-28,59 ST,NQR456,BMT,19234
2016-07-31,5 AV/59 ST,NQR,BMT,10036
2016-08-01,5 AV/59 ST,NQR,BMT,18686
2016-08-02,5 AV/59 ST,NQR,BMT,21481
2016-08-03,5 AV/59 ST,NQR,BMT,21810
2016-08-04,5 AV/59 ST,NQR,BMT,21172
2016-08-05,5 AV/59 ST,NQR,BMT,20687
2016-08-06,5 AV/59 ST,NQR,BMT,13500
2016-08-07,5 AV/59 ST,NQR,BMT,12513
2016-08-08,5 AV/59 ST,NQR,BMT,19365
2016-08-09,5 AV/59 ST,NQR,BMT,21113
2016-08-10,5 AV/59 ST,NQR,BMT,20177
2016-08-11,5 AV/59 ST,NQR,BMT,19654
2016-08-12,5 AV/59 ST,NQR,BMT,18187
2016-08-13,5 AV/59 ST,NQR,BMT,11234
2016-08-14,5 AV/59 ST,NQR,BMT,9239
2016-08-15,5 AV/59 ST,NQR,BMT,17946
2016-08-16,5 AV/59 ST,NQR,BMT,19601
2016-08-17,5 AV/59 ST,NQR,BMT,20230
2016-08-18,5 AV/59 ST,NQR,BMT,19385
2016-08-19,5 AV/59 ST,NQR,BMT,18421
2016-08-20,5 AV/59 ST,NQR,BMT,12711
2016-08-21,5 AV/59 ST,NQR,BMT,11054
2016-08-22,5 AV/59 ST,NQR,BMT,18326
2016-08-23,5 AV/59 ST,NQR,BMT,20123
2016-08-24,5 AV/59 ST,NQR,BMT,20009
2016-08-25,5 AV/59 ST,NQR,BMT,19370
2016-08-26,5 AV/59 ST,NQR,BMT,18003
2016-08-27,5 AV/59 ST,NQR,BMT,12657
2016-08-28,5 AV/59 ST,NQR,BMT,10974
2016-08-29,5 AV/59 ST,NQR,BMT,17440
2016-08-30,5 AV/59 ST,NQR,BMT,18577
2016-08-31,5 AV/59 ST,NQR,BMT,18594
2016-09-01,5 AV/59 ST,NQR,BMT,17336
2016-09-02,5 AV/59 ST,NQR,BMT,17463
2016-09-03,5 AV/59 ST,NQR,BMT,13532
2016-09-04,5 AV/59 ST,NQR,BMT,11699
2016-09-05,5 AV/59 ST,NQR,BMT,10325
2016-09-06,5 AV/59 ST,NQR,BMT,17741
2016-09-07,5 AV/59 ST,NQR,BMT,19765
2016-09-08,5 AV/59 ST,NQR,BMT,19825
2016-09-09,5 AV/59 ST,NQR,BMT,19097
2016-09-10,5 AV/59 ST,NQR,BMT,13757
2016-09-11,5 AV/59 ST,NQR,BMT,9857
2016-09-12,5 AV/59 ST,NQR,BMT,18843
2016-09-13,5 AV/59 ST,NQR,BMT,19744
2016-09-14,5 AV/59 ST,NQR,BMT,19869
2016-09-15,5 AV/59 ST,NQR,BMT,20806
2016-09-16,5 AV/59 ST,NQR,BMT,20547
2016-09-17,5 AV/59 ST,NQR,BMT,15107
2016-09-18,5 AV/59 ST,NQR,BMT,10707
2016-09-19,5 AV/59 ST,NQR,BMT,18280
2016-09-20,5 AV/59 ST,NQR,BMT,21379
2016-09-21,5 AV/59 ST,NQR,BMT,21990
2016-09-22,5 AV/59 ST,NQR,BMT,21326
2016-09-23,5 AV/59 ST,NQR,BMT,20826
2016-09-24,5 AV/59 ST,NQR,BMT,14205
2016-09-25,5 AV/59 ST,NQR,BMT,11939
2016-09-26,5 AV/59 ST,NQR,BMT,18608
2016-09-27,5 AV/59 ST,NQR,BMT,18923
2016-09-28,5 AV/59 ST,NQR,BMT,19424
2016-09-29,5 AV/59 ST,NQR,BMT,18874
2016-09-30,5 AV/59 ST,NQR,BMT,19105
2016-10-01,5 AV/59 ST,NQR,BMT,11402
2016-10-02,5 AV/59 ST,NQR,BMT,10173
2016-10-03,5 AV/59 ST,NQR,BMT,17278
2016-10-04,5 AV/59 ST,NQR,BMT,19469
2016-10-05,5 AV/59 ST,NQR,BMT,20383
2016-10-06,5 AV/59 ST,NQR,BMT,20382
2016-10-07,5 AV/59 ST,NQR,BMT,20082
2016-10-08,5 AV/59 ST,NQR,BMT,12246
2016-10-09,5 AV/59 ST,NQR,BMT,8963
2016-10-10,5 AV/59 ST,NQR,BMT,18748
2016-10-11,5 AV/59 ST,NQR,BMT,19333
2016-10-12,5 AV/59 ST,NQR,BMT,18847
2016-10-13,5 AV/59 ST,NQR,BMT,20208
2016-10-14,5 AV/59 ST,NQR,BMT,19995
2016-10-15,5 AV/59 ST,NQR,BMT,14207
2016-10-16,5 AV/59 ST,NQR,BMT,11916
2016-10-17,5 AV/59 ST,NQR,BMT,18736
2016-10-18,5 AV/59 ST,NQR,BMT,19970
2016-10-19,5 AV/59 ST,NQR,BMT,20955
2016-10-20,5 AV/59 ST,NQR,BMT,19913
2016-10-21,5 AV/59 ST,NQR,BMT,19351
2016-10-22,5 AV/59 ST,NQR,BMT,11804
2016-10-23,5 AV/59 ST,NQR,BMT,12641
2016-10-24,5 AV/59 ST,NQR,BMT,18610
2016-10-25,5 AV/59 ST,NQR,BMT,19304
2016-10-26,5 AV/59 ST,NQR,BMT,20008
2016-10-27,5 AV/59 ST,NQR,BMT,19167
2016-10-28,5 AV/59 ST,NQR,BMT,19455
2016-07-31,57 ST-7 AV,NQR,BMT,11231
2016-08-01,57 ST-7 AV,NQR,BMT,19409
2016-08-02,57 ST-7 AV,NQR,BMT,22040
2016-08-03,57 ST-7 AV,NQR,BMT,22456
2016-08-04,57 ST-7 AV,NQR,BMT,22049
2016-08-05,57 ST-7 AV,NQR,BMT,20928
2016-08-06,57 ST-7 AV,NQR,BMT,14001
2016-08-07,57 ST-7 AV,NQR,BMT,12460
2016-08-08,57 ST-7 AV,NQR,BMT,19909
2016-08-09,57 ST-7 AV,NQR,BMT,21512
2016-08-10,57 ST-7 AV,NQR,BMT,22179
2016-08-11,57 ST-7 AV,NQR,BMT,21684
2016-08-12,57 ST-7 AV,NQR,BMT,20009
2016-08-13,57 ST-7 AV,NQR,BMT,13269
2016-08-14,57 ST-7 AV,NQR,BMT,11094
2016-08-15,57 ST-7 AV,NQR,BMT,19545
2016-08-16,57 ST-7 AV,NQR,BMT,21011
2016-08-17,57 ST-7 AV,NQR,BMT,21270
2016-08-18,57 ST-7 AV,NQR,BMT,21356
2016-08-19,57 ST-7 AV,NQR,BMT,19929
2016-08-20,57 ST-7 AV,NQR,BMT,13767
2016-08-21,57 ST-7 AV,NQR,BMT,12222
2016-08-22,57 ST-7 AV,NQR,BMT,18579
2016-08-23,57 ST-7 AV,NQR,BMT,21260
2016-08-24,57 ST-7 AV,NQR,BMT,22044
2016-08-25,57 ST-7 AV,NQR,BMT,21736
2016-08-26,57 ST-7 AV,NQR,BMT,20181
2016-08-27,57 ST-7 AV,NQR,BMT,14040
2016-08-28,57 ST-7 AV,NQR,BMT,12527
2016-08-29,57 ST-7 AV,NQR,BMT,19983
2016-08-30,57 ST-7 AV,NQR,BMT,21563
2016-08-31,57 ST-7 AV,NQR,BMT,21813
2016-09-01,57 ST-7 AV,NQR,BMT,21112
2016-09-02,57 ST-7 AV,NQR,BMT,19096
2016-09-03,57 ST-7 AV,NQR,BMT,13028
2016-09-04,57 ST-7 AV,NQR,BMT,11902
2016-09-05,57 ST-7 AV,NQR,BMT,10096
2016-09-06,57 ST-7 AV,NQR,BMT,19940
2016-09-07,57 ST-7 AV,NQR,BMT,22746
2016-09-08,57 ST-7 AV,NQR,BMT,23219
2016-09-09,57 ST-7 AV,NQR,BMT,22876
2016-09-10,57 ST-7 AV,NQR,BMT,16352
2016-09-11,57 ST-7 AV,NQR,BMT,13132
2016-09-12,57 ST-7 AV,NQR,BMT,20595
2016-09-13,57 ST-7 AV,NQR,BMT,23873
2016-09-14,57 ST-7 AV,NQR,BMT,23926
2016-09-15,57 ST-7 AV,NQR,BMT,26188
2016-09-16,57 ST-7 AV,NQR,BMT,24137
2016-09-17,57 ST-7 AV,NQR,BMT,19285
2016-09-18,57 ST-7 AV,NQR,BMT,14984
2016-09-19,57 ST-7 AV,NQR,BMT,23229
2016-09-20,57 ST-7 AV,NQR,BMT,26028
2016-09-21,57 ST-7 AV,NQR,BMT,27068
2016-09-22,57 ST-7 AV,NQR,BMT,26768
2016-09-23,57 ST-7 AV,NQR,BMT,25230
2016-09-24,57 ST-7 AV,NQR,BMT,16823
2016-09-25,57 ST-7 AV,NQR,BMT,14666
2016-09-26,57 ST-7 AV,NQR,BMT,23024
2016-09-27,57 ST-7 AV,NQR,BMT,24977
2016-09-28,57 ST-7 AV,NQR,BMT,26809
2016-09-29,57 ST-7 AV,NQR,BMT,25958
2016-09-30,57 ST-7 AV,NQR,BMT,26178
2016-10-01,57 ST-7 AV,NQR,BMT,16449
2016-10-02,57 ST-7 AV,NQR,BMT,14311
2016-10-03,57 ST-7 AV,NQR,BMT,20323
2016-10-04,57 ST-7 AV,NQR,BMT,23159
2016-10-05,57 ST-7 AV,NQR,BMT,25760
2016-10-06,57 ST-7 AV,NQR,BMT,26571
2016-10-07,57 ST-7 AV,NQR,BMT,25903
2016-10-08,57 ST-7 AV,NQR,BMT,17674
2016-10-09,57 ST-7 AV,NQR,BMT,13802
2016-10-10,57 ST-7 AV,NQR,BMT,19837
2016-10-11,57 ST-7 AV,NQR,BMT,24575
2016-10-12,57 ST-7 AV,NQR,BMT,22187
2016-10-13,57 ST-7 AV,NQR,BMT,25139
2016-10-14,57 ST-7 AV,NQR,BMT,26672
2016-10-15,57 ST-7 AV,NQR,BMT,19821
2016-10-16,57 ST-7 AV,NQR,BMT,15966
2016-10-17,57 ST-7 AV,NQR,BMT,23779
2016-10-18,57 ST-7 AV,NQR,BMT,25513
2016-10-19,57 ST-7 AV,NQR,BMT,26482
2016-10-20,57 ST-7 AV,NQR,BMT,26693
2016-10-21,57 ST-7 AV,NQR,BMT,25777
2016-10-22,57 ST-7 AV,NQR,BMT,18101
2016-10-23,57 ST-7 AV,NQR,BMT,16312
2016-10-24,57 ST-7 AV,NQR,BMT,23720
2016-10-25,57 ST-7 AV,NQR,BMT,26637
2016-10-26,57 ST-7 AV,NQR,BMT,27761
2016-10-27,57 ST-7 AV,NQR,BMT,27832
2016-10-28,57 ST-7 AV,NQR,BMT,26120
2016-07-31,49 ST,NQR,BMT,16832
2016-08-01,49 ST,NQR,BMT,24896
2016-08-02,49 ST,NQR,BMT,27011
2016-08-03,49 ST,NQR,BMT,29008
2016-08-04,49 ST,NQR,BMT,27964
2016-08-05,49 ST,NQR,BMT,27968
2016-08-06,49 ST,NQR,BMT,20241
2016-08-07,49 ST,NQR,BMT,18081
2016-08-08,49 ST,NQR,BMT,24196
2016-08-09,49 ST,NQR,BMT,26822
2016-08-10,49 ST,NQR,BMT,28527
2016-08-11,49 ST,NQR,BMT,27846
2016-08-12,49 ST,NQR,BMT,26786
2016-08-13,49 ST,NQR,BMT,17439
2016-08-14,49 ST,NQR,BMT,15218
2016-08-15,49 ST,NQR,BMT,22827
2016-08-16,49 ST,NQR,BMT,25696
2016-08-17,49 ST,NQR,BMT,27058
2016-08-18,49 ST,NQR,BMT,26941
2016-08-19,49 ST,NQR,BMT,25635
2016-08-20,49 ST,NQR,BMT,19574
2016-08-21,49 ST,NQR,BMT,18423
2016-08-22,49 ST,NQR,BMT,22568
2016-08-23,49 ST,NQR,BMT,24756
2016-08-24,49 ST,NQR,BMT,26537
2016-08-25,49 ST,NQR,BMT,25922
2016-08-26,49 ST,NQR,BMT,25731
2016-08-27,49 ST,NQR,BMT,17979
2016-08-28,49 ST,NQR,BMT,16335
2016-08-29,49 ST,NQR,BMT,22924
2016-08-30,49 ST,NQR,BMT,24270
2016-08-31,49 ST,NQR,BMT,25694
2016-09-01,49 ST,NQR,BMT,24450
2016-09-02,49 ST,NQR,BMT,23679
2016-09-03,49 ST,NQR,BMT,17770
2016-09-04,49 ST,NQR,BMT,17911
2016-09-05,49 ST,NQR,BMT,13147
2016-09-06,49 ST,NQR,BMT,22284
2016-09-07,49 ST,NQR,BMT,25784
2016-09-08,49 ST,NQR,BMT,26334
2016-09-09,49 ST,NQR,BMT,27386
2016-09-10,49 ST,NQR,BMT,19568
2016-09-11,49 ST,NQR,BMT,17540
2016-09-12,49 ST,NQR,BMT,24376
2016-09-13,49 ST,NQR,BMT,26401
2016-09-14,49 ST,NQR,BMT,28698
2016-09-15,49 ST,NQR,BMT,27838
2016-09-16,49 ST,NQR,BMT,27797
2016-09-17,49 ST,NQR,BMT,21753
2016-09-18,49 ST,NQR,BMT,20740
2016-09-19,49 ST,NQR,BMT,25137
2016-09-20,49 ST,NQR,BMT,26731
2016-09-21,49 ST,NQR,BMT,28795
2016-09-22,49 ST,NQR,BMT,28425
2016-09-23,49 ST,NQR,BMT,28391
2016-09-24,49 ST,NQR,BMT,18672
2016-09-25,49 ST,NQR,BMT,17342
2016-09-26,49 ST,NQR,BMT,24988
2016-09-27,49 ST,NQR,BMT,25916
2016-09-28,49 ST,NQR,BMT,29807
2016-09-29,49 ST,NQR,BMT,27732
2016-09-30,49 ST,NQR,BMT,29781
2016-10-01,49 ST,NQR,BMT,19503
2016-10-02,49 ST,NQR,BMT,18901
2016-10-03,49 ST,NQR,BMT,23313
2016-10-04,49 ST,NQR,BMT,25728
2016-10-05,49 ST,NQR,BMT,29015
2016-10-06,49 ST,NQR,BMT,28045
2016-10-07,49 ST,NQR,BMT,29149
2016-10-08,49 ST,NQR,BMT,21758
2016-10-09,49 ST,NQR,BMT,17795
2016-10-10,49 ST,NQR,BMT,23266
2016-10-11,49 ST,NQR,BMT,26087
2016-10-12,49 ST,NQR,BMT,26466
2016-10-13,49 ST,NQR,BMT,27975
2016-10-14,49 ST,NQR,BMT,29196
2016-10-15,49 ST,NQR,BMT,22188
2016-10-16,49 ST,NQR,BMT,20338
2016-10-17,49 ST,NQR,BMT,26025
2016-10-18,49 ST,NQR,BMT,26827
2016-10-19,49 ST,NQR,BMT,28913
2016-10-20,49 ST,NQR,BMT,28197
2016-10-21,49 ST,NQR,BMT,28941
2016-10-22,49 ST,NQR,BMT,21341
2016-10-23,49 ST,NQR,BMT,18976
2016-10-24,49 ST,NQR,BMT,25524
2016-10-25,49 ST,NQR,BMT,27713
2016-10-26,49 ST,NQR,BMT,29410
2016-10-27,49 ST,NQR,BMT,29575
2016-10-28,49 ST,NQR,BMT,30044
2016-07-31,TIMES SQ-42 ST,ACENQRS1237,BMT,2835
2016-08-01,TIMES SQ-42 ST,ACENQRS1237,BMT,11901
2016-08-02,TIMES SQ-42 ST,ACENQRS1237,BMT,13262
2016-08-03,TIMES SQ-42 ST,ACENQRS1237,BMT,13641
2016-08-04,TIMES SQ-42 ST,ACENQRS1237,BMT,13382
2016-08-05,TIMES SQ-42 ST,ACENQRS1237,BMT,11989
2016-08-06,TIMES SQ-42 ST,ACENQRS1237,BMT,4630
2016-08-07,TIMES SQ-42 ST,ACENQRS1237,BMT,3170
2016-08-08,TIMES SQ-42 ST,ACENQRS1237,BMT,12002
2016-08-09,TIMES SQ-42 ST,ACENQRS1237,BMT,13478
2016-08-10,TIMES SQ-42 ST,ACENQRS1237,BMT,13678
2016-08-11,TIMES SQ-42 ST,ACENQRS1237,BMT,13366
2016-08-12,TIMES SQ-42 ST,ACENQRS1237,BMT,11909
2016-08-13,TIMES SQ-42 ST,ACENQRS1237,BMT,4151
2016-08-14,TIMES SQ-42 ST,ACENQRS1237,BMT,2929
2016-08-15,TIMES SQ-42 ST,ACENQRS1237,BMT,11589
2016-08-16,TIMES SQ-42 ST,ACENQRS1237,BMT,13118
2016-08-17,TIMES SQ-42 ST,ACENQRS1237,BMT,13119
2016-08-18,TIMES SQ-42 ST,ACENQRS1237,BMT,13265
2016-08-19,TIMES SQ-42 ST,ACENQRS1237,BMT,11827
2016-08-20,TIMES SQ-42 ST,ACENQRS1237,BMT,4740
2016-08-21,TIMES SQ-42 ST,ACENQRS1237,BMT,3299
2016-08-22,TIMES SQ-42 ST,ACENQRS1237,BMT,11597
2016-08-23,TIMES SQ-42 ST,ACENQRS1237,BMT,12928
2016-08-24,TIMES SQ-42 ST,ACENQRS1237,BMT,13248
2016-08-25,TIMES SQ-42 ST,ACENQRS1237,BMT,13152
2016-08-26,TIMES SQ-42 ST,ACENQRS1237,BMT,11551
2016-08-27,TIMES SQ-42 ST,ACENQRS1237,BMT,4409
2016-08-28,TIMES SQ-42 ST,ACENQRS1237,BMT,3229
2016-08-29,TIMES SQ-42 ST,ACENQRS1237,BMT,11826
2016-08-30,TIMES SQ-42 ST,ACENQRS1237,BMT,12792
2016-08-31,TIMES SQ-42 ST,ACENQRS1237,BMT,12935
2016-09-01,TIMES SQ-42 ST,ACENQRS1237,BMT,12578
2016-09-02,TIMES SQ-42 ST,ACENQRS1237,BMT,10479
2016-09-03,TIMES SQ-42 ST,ACENQRS1237,BMT,4103
2016-09-04,TIMES SQ-42 ST,ACENQRS1237,BMT,3117
2016-09-05,TIMES SQ-42 ST,ACENQRS1237,BMT,2866
2016-09-06,TIMES SQ-42 ST,ACENQRS1237,BMT,12313
2016-09-07,TIMES SQ-42 ST,ACENQRS1237,BMT,13475
2016-09-08,TIMES SQ-42 ST,ACENQRS1237,BMT,13706
2016-09-09,TIMES SQ-42 ST,ACENQRS1237,BMT,13161
2016-09-10,TIMES SQ-42 ST,ACENQRS1237,BMT,4892
2016-09-11,TIMES SQ-42 ST,ACENQRS1237,BMT,3500
2016-09-12,TIMES SQ-42 ST,ACENQRS1237,BMT,12546
2016-09-13,TIMES SQ-42 ST,ACENQRS1237,BMT,13852
2016-09-14,TIMES SQ-42 ST,ACENQRS1237,BMT,14579
2016-09-15,TIMES SQ-42 ST,ACENQRS1237,BMT,14097
2016-09-16,TIMES SQ-42 ST,ACENQRS1237,BMT,12977
2016-09-17,TIMES SQ-42 ST,ACENQRS1237,BMT,5266
2016-09-18,TIMES SQ-42 ST,ACENQRS1237,BMT,3852
2016-09-19,TIMES SQ-42 ST,ACENQRS1237,BMT,12063
2016-09-20,TIMES SQ-42 ST,ACENQRS1237,BMT,13835
2016-09-21,TIMES SQ-42 ST,ACENQRS1237,BMT,14270
2016-09-22,TIMES SQ-42 ST,ACENQRS1237,BMT,13972
2016-09-23,TIMES SQ-42 ST,ACENQRS1237,BMT,13200
2016-09-24,TIMES SQ-42 ST,ACENQRS1237,BMT,4834
2016-09-25,TIMES SQ-42 ST,ACENQRS1237,BMT,3439
2016-09-26,TIMES SQ-42 ST,ACENQRS1237,BMT,12512
2016-09-27,TIMES SQ-42 ST,ACENQRS1237,BMT,13366
2016-09-28,TIMES SQ-42 ST,ACENQRS1237,BMT,13912
2016-09-29,TIMES SQ-42 ST,ACENQRS1237,BMT,13501
2016-09-30,TIMES SQ-42 ST,ACENQRS1237,BMT,13611
2016-10-01,TIMES SQ-42 ST,ACENQRS1237,BMT,4567
2016-10-02,TIMES SQ-42 ST,ACENQRS1237,BMT,3454
2016-10-03,TIMES SQ-42 ST,ACENQRS1237,BMT,10706
2016-10-04,TIMES SQ-42 ST,ACENQRS1237,BMT,12423
2016-10-05,TIMES SQ-42 ST,ACENQRS1237,BMT,13793
2016-10-06,TIMES SQ-42 ST,ACENQRS1237,BMT,13671
2016-10-07,TIMES SQ-42 ST,ACENQRS1237,BMT,13236
2016-10-08,TIMES SQ-42 ST,ACENQRS1237,BMT,4920
2016-10-09,TIMES SQ-42 ST,ACENQRS1237,BMT,3228
2016-10-10,TIMES SQ-42 ST,ACENQRS1237,BMT,10117
2016-10-11,TIMES SQ-42 ST,ACENQRS1237,BMT,13150
2016-10-12,TIMES SQ-42 ST,ACENQRS1237,BMT,11474
2016-10-13,TIMES SQ-42 ST,ACENQRS1237,BMT,13610
2016-10-14,TIMES SQ-42 ST,ACENQRS1237,BMT,13311
2016-10-15,TIMES SQ-42 ST,ACENQRS1237,BMT,5091
2016-10-16,TIMES SQ-42 ST,ACENQRS1237,BMT,3530
2016-10-17,TIMES SQ-42 ST,ACENQRS1237,BMT,11974
2016-10-18,TIMES SQ-42 ST,ACENQRS1237,BMT,13237
2016-10-19,TIMES SQ-42 ST,ACENQRS1237,BMT,14042
2016-10-20,TIMES SQ-42 ST,ACENQRS1237,BMT,13989
2016-10-21,TIMES SQ-42 ST,ACENQRS1237,BMT,13063
2016-10-22,TIMES SQ-42 ST,ACENQRS1237,BMT,5172
2016-10-23,TIMES SQ-42 ST,ACENQRS1237,BMT,3820
2016-10-24,TIMES SQ-42 ST,ACENQRS1237,BMT,12219
2016-10-25,TIMES SQ-42 ST,ACENQRS1237,BMT,13439
2016-10-26,TIMES SQ-42 ST,ACENQRS1237,BMT,14311
2016-10-27,TIMES SQ-42 ST,ACENQRS1237,BMT,14435
2016-10-28,TIMES SQ-42 ST,ACENQRS1237,BMT,13806
2016-07-31,34 ST-HERALD SQ,BDFMNQR,BMT,19974
2016-08-01,34 ST-HERALD SQ,BDFMNQR,BMT,38480
2016-08-02,34 ST-HERALD SQ,BDFMNQR,BMT,42479
2016-08-03,34 ST-HERALD SQ,BDFMNQR,BMT,44352
2016-08-04,34 ST-HERALD SQ,BDFMNQR,BMT,44089
2016-08-05,34 ST-HERALD SQ,BDFMNQR,BMT,43839
2016-08-06,34 ST-HERALD SQ,BDFMNQR,BMT,27552
2016-08-07,34 ST-HERALD SQ,BDFMNQR,BMT,21710
2016-08-08,34 ST-HERALD SQ,BDFMNQR,BMT,39653
2016-08-09,34 ST-HERALD SQ,BDFMNQR,BMT,43052
2016-08-10,34 ST-HERALD SQ,BDFMNQR,BMT,43752
2016-08-11,34 ST-HERALD SQ,BDFMNQR,BMT,42762
2016-08-12,34 ST-HERALD SQ,BDFMNQR,BMT,42482
2016-08-13,34 ST-HERALD SQ,BDFMNQR,BMT,24050
2016-08-14,34 ST-HERALD SQ,BDFMNQR,BMT,19306
2016-08-15,34 ST-HERALD SQ,BDFMNQR,BMT,38351
2016-08-16,34 ST-HERALD SQ,BDFMNQR,BMT,41961
2016-08-17,34 ST-HERALD SQ,BDFMNQR,BMT,42498
2016-08-18,34 ST-HERALD SQ,BDFMNQR,BMT,42279
2016-08-19,34 ST-HERALD SQ,BDFMNQR,BMT,41625
2016-08-20,34 ST-HERALD SQ,BDFMNQR,BMT,25860
2016-08-21,34 ST-HERALD SQ,BDFMNQR,BMT,20590
2016-08-22,34 ST-HERALD SQ,BDFMNQR,BMT,37495
2016-08-23,34 ST-HERALD SQ,BDFMNQR,BMT,41317
2016-08-24,34 ST-HERALD SQ,BDFMNQR,BMT,42277
2016-08-25,34 ST-HERALD SQ,BDFMNQR,BMT,41703
2016-08-26,34 ST-HERALD SQ,BDFMNQR,BMT,41130
2016-08-27,34 ST-HERALD SQ,BDFMNQR,BMT,25649
2016-08-28,34 ST-HERALD SQ,BDFMNQR,BMT,20634
2016-08-29,34 ST-HERALD SQ,BDFMNQR,BMT,38427
2016-08-30,34 ST-HERALD SQ,BDFMNQR,BMT,40272
2016-08-31,34 ST-HERALD SQ,BDFMNQR,BMT,41073
2016-09-01,34 ST-HERALD SQ,BDFMNQR,BMT,40275
2016-09-02,34 ST-HERALD SQ,BDFMNQR,BMT,39206
2016-09-03,34 ST-HERALD SQ,BDFMNQR,BMT,24626
2016-09-04,34 ST-HERALD SQ,BDFMNQR,BMT,20727
2016-09-05,34 ST-HERALD SQ,BDFMNQR,BMT,20325
2016-09-06,34 ST-HERALD SQ,BDFMNQR,BMT,39044
2016-09-07,34 ST-HERALD SQ,BDFMNQR,BMT,43050
2016-09-08,34 ST-HERALD SQ,BDFMNQR,BMT,42364
2016-09-09,34 ST-HERALD SQ,BDFMNQR,BMT,43970
